UniProt ID;Gene;Protein Name;Panel;Tissue Specificity
Q03393;PTS;6-pyruvoyl tetrahydrobiopterin synthase;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q03403;TFF2;Trefoil factor 2;Olink Explore Inflammation, Olink Target 96 Metabolism;Tissue enriched: stomach 1
Q03405;PLAUR;Urokinase plasminogen activator surface receptor;Olink Explore Inflammation, Olink Target 96 Cardiovascular III;Tissue enriched: bone marrow
Q03426;MVK;Mevalonate kinase;Olink Explore Inflammation, Olink Target 96 Organ Damage;Tissue enhanced: liver
Q03431;PTH1R;Parathyroid hormone/parathyroid hormone-related peptide receptor;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enriched: kidney
Q04637;EIF4G1;Eukaryotic translation initiation factor 4 gamma 1;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: skeletal muscle
Q04759;PRKCQ;Protein kinase C theta type;Olink Explore Inflammation, Olink Target 96 Immune Response;Group enriched: lymphoid tissue, skeletal muscle, tongue
Q04760;GLO1;Lactoylglutathione lyase;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Low tissue specificity
Q04900;CD164;Sialomucin core protein 24;Olink Explore Neurology, Olink Target 96 Metabolism;Low tissue specificity
Q05084;ICA1;Islet cell autoantigen 1;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
Q06141;REG3A;Regenerating islet-derived protein 3-alpha;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Group enriched: intestine, pancreas
Q06323;PSME1;Proteasome activator complex subunit 1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q06418;TYRO3;Tyrosine-protein kinase receptor TYRO3;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: brain, ovary
Q06520;SULT2A1;Sulfotransferase 2A1;Olink Explore Inflammation, Olink Target 96 Cell Regulation;Tissue enriched: liver
Q06830;PRDX1;Peroxiredoxin-1;Olink Explore Neurology, Olink Target 96 Immune Response;Low tissue specificity
Q07065;CKAP4;Cytoskeleton-associated protein 4;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
Q07108;CD69;Early activation antigen CD69;Olink Explore Cardiometabolic, Olink Target 96 Development;Group enriched: bone marrow, lymphoid tissue
Q07654;TFF3;Trefoil factor 3;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Group enriched: cervix, intestine, salivary gland, thyroid gland
Q07954;LRP1;Prolow-density lipoprotein receptor-related protein 1;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: adipose tissue
Q07960;ARHGAP1;Rho GTPase-activating protein 1;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
Q08174;PCDH1;Protocadherin-1;Olink Explore Inflammation, Olink Target 96 Oncology III;Low tissue specificity
Q08334;IL10RB;Interleukin-10 receptor subunit beta;Olink Explore Inflammation, Olink Target 96 Inflammation;Low tissue specificity
Q08345;DDR1;Epithelial discoidin domain-containing receptor 1;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
Q08431;MFGE8;Lactadherin;Olink Explore Neurology, Olink Target 96 Development;Low tissue specificity
Q08629;SPOCK1;Testican-1;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: brain
Q08708;CD300C;CMRF35-like molecule 6;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: bone marrow, lung, lymphoid tissue
Q0Z7S8;FABP9;Fatty acid-binding protein 9;Olink Explore Inflammation, Olink Target 96 Organ Damage;Tissue enriched: skin 1
Q10471;GALNT2;Polypeptide N-acetylgalactosaminyltransferase 2;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
Q10588;BST1;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2;Olink Explore Neurology, Olink Target 96 Development;Group enriched: bone marrow, intestine
Q10589;BST2;Bone marrow stromal antigen 2;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: adrenal gland, ovary
Q11128;FUT5;4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5;Olink Explore Neurology, Olink Target 96 Development;Not detected
Q11201;ST3GAL1;CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
Q12778;FOXO1;Forkhead box protein O1;Olink Explore Inflammation, Olink Target 96 Organ Damage;Tissue enhanced: skeletal muscle
Q12805;EFEMP1;EGF-containing fibulin-like extracellular matrix protein 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
Q12860;CNTN1;Contactin-1;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: brain
Q12864;CDH17;Cadherin-17;Olink Explore Cardiometabolic, Olink Target 96 Neuro Exploratory;Tissue enriched: intestine
Q12866;MERTK;Tyrosine-protein kinase Mer;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Low tissue specificity
Q12884;FAP;Prolyl endopeptidase FAP;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: endometrium 1, smooth muscle
Q12912;IRAG2;Inositol 1,4,5-triphosphate receptor associated 2;Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation;Group enriched: bone marrow, lymphoid tissue
Q12933;TRAF2;TNF receptor-associated factor 2;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
Q12968;NFATC3;Nuclear factor of activated T-cells, cytoplasmic 3;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue
Q13007;IL24;Interleukin-24;Olink Explore Inflammation, Olink Target 96 Inflammation;Group enriched: intestine, lymphoid tissue, urinary bladder
Q13043;STK4;Serine/threonine-protein kinase 4;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enhanced: bone marrow
Q13093;PLA2G7;Platelet-activating factor acetylhydrolase;Olink Explore Neurology, Olink Target 96 Cardiometabolic;Tissue enhanced: lymphoid tissue, placenta
Q13105;ZBTB17;Zinc finger and BTB domain-containing protein 17;Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation;Low tissue specificity
Q13145;BAMBI;BMP and activin membrane-bound inhibitor homolog;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: ovary
Q13158;FADD;FAS-associated death domain protein;Olink Explore Cardiometabolic, Olink Target 96 Oncology II;Low tissue specificity
Q13219;PAPPA;Pappalysin-1;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enriched: placenta
Q13231;CHIT1;Chitotriosidase-1;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: bone marrow, lung, lymphoid tissue
Q13261;IL15RA;Interleukin-15 receptor subunit alpha;Olink Explore Inflammation, Olink Target 96 Inflammation;Low tissue specificity
Q13275;SEMA3F;Semaphorin-3F;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: esophagus
Q13291;SLAMF1;Signaling lymphocytic activation molecule;Olink Explore Inflammation, Olink Target 96 Inflammation;Tissue enriched: lymphoid tissue
Q13308;PTK7;Inactive tyrosine-protein kinase 7;Olink Explore Neurology, Olink Target 96 Organ Damage;Low tissue specificity
Q13332;PTPRS;Receptor-type tyrosine-protein phosphatase S;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
Q13361;MFAP5;Microfibrillar-associated protein 5;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: endometrium 1
Q13421;MSLN;Mesothelin;Olink Explore Oncology, Olink Target 96 Oncology II;Group enriched: fallopian tube, lung
Q13444;ADAM15;Disintegrin and metalloproteinase domain-containing protein 15;Olink Explore Cardiometabolic, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q13451;FKBP5;Peptidyl-prolyl cis-trans isomerase FKBP5;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: skeletal muscle, tongue
Q13459;MYO9B;Unconventional myosin-IXb;Olink Explore Inflammation, Olink Target 96 Oncology III;Low tissue specificity
Q13478;IL18R1;Interleukin-18 receptor 1;Olink Explore Inflammation, Olink Target 96 Inflammation;Tissue enhanced: lung, lymphoid tissue
Q13490;BIRC2;Baculoviral IAP repeat-containing protein 2;Olink Explore Oncology, Olink Target 96 Immune Response;Low tissue specificity
Q13541;EIF4EBP1;Eukaryotic translation initiation factor 4E-binding protein 1;Olink Explore Cardiometabolic, Olink Target 96 Inflammation;Tissue enhanced: pancreas, salivary gland
Q13561;DCTN2;Dynactin subunit 2;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
Q13574;DGKZ;Diacylglycerol kinase zeta;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: brain
Q13576;IQGAP2;Ras GTPase-activating-like protein IQGAP2;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: liver
Q13651;IL10RA;Interleukin-10 receptor subunit alpha;Olink Explore Inflammation, Olink Target 96 Inflammation;Tissue enhanced: bone marrow, lymphoid tissue
Q13740;ALCAM;CD166 antigen;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enriched: parathyroid gland
Q13822;ENPP2;Ectonucleotide pyrophosphatase/phosphodiesterase family member 2;Olink Explore Cardiometabolic, Olink Target 96 Development;Tissue enhanced: brain, choroid plexus
Q13867;BLMH;Bleomycin hydrolase;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: skin 1
Q14005;IL16;Pro-interleukin-16;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enhanced: lymphoid tissue
Q14108;SCARB2;Lysosome membrane protein 2;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
Q14112;NID2;Nidogen-2;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: placenta
Q14118;DAG1;Dystroglycan 1;Olink Explore Inflammation, Olink Target 96 Development;Low tissue specificity
Q14162;SCARF1;Scavenger receptor class F member 1;Olink Explore Cardiometabolic, Olink Target 96 Development;Tissue enhanced: lymphoid tissue
Q14203;DCTN1;Dynactin subunit 1;Olink Explore Oncology, Olink Target 96 Immune Response;Low tissue specificity
Q14241;ELOA;Elongin-A;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
Q14242;SELPLG;P-selectin glycoprotein ligand 1;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enhanced: lymphoid tissue
Q14393;GAS6;Growth arrest-specific protein 6;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
Q14435;GALNT3;Polypeptide N-acetylgalactosaminyltransferase 3;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: stomach 1
Q14508;WFDC2;WAP four-disulfide core domain protein 2;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: cervix, salivary gland
Q14512;FGFBP1;Fibroblast growth factor-binding protein 1;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: esophagus, vagina
Q14515;SPARCL1;SPARC-like protein 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
Q14696;MESD;LRP chaperone MESD;Olink Explore Neurology, Olink Target 96 Development;Low tissue specificity
Q14767;LTBP2;Latent-transforming growth factor beta-binding protein 2;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
Q14773;ICAM4;Intercellular adhesion molecule 4;Olink Explore Inflammation, Olink Target 96 Oncology III;Group enriched: bone marrow, lung
Q15109;AGER;Advanced glycosylation end product-specific receptor;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enriched: lung
Q15113;PCOLCE;Procollagen C-endopeptidase enhancer 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
Q15126;PMVK;Phosphomevalonate kinase;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q15155;NOMO1;Nodal modulator 1;Olink Explore Neurology, Olink Target 96 Metabolism;Tissue enhanced: pancreas
Q15165;PON2;Serum paraoxonase/arylesterase 2;Olink Explore Cardiometabolic, Olink Target 96 Organ Damage;Tissue enhanced: brain
Q15166;PON3;Serum paraoxonase/lactonase 3;Olink Explore Inflammation, Olink Target 96 Cardiovascular III;Tissue enriched: liver
Q15303;ERBB4;Receptor tyrosine-protein kinase erbB-4;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: brain, fallopian tube
Q15485;FCN2;Ficolin-2;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: liver
Q15517;CDSN;Corneodesmosin;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enriched: skin 1
Q15582;TGFBI;Transforming growth factor-beta-induced protein ig-h3;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: placenta
Q15661;TPSAB1;Tryptase alpha/beta-1;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
Q15797;SMAD1;Mothers against decapentaplegic homolog 1;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
Q15828;CST6;Cystatin-M;Olink Explore Cardiometabolic, Olink Target 96 Development;Tissue enriched: skin 1
Q15846;CLUL1;Clusterin-like protein 1;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enriched: retina
Q16270;IGFBP7;Insulin-like growth factor-binding protein 7;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Low tissue specificity
Q16288;NTRK3;NT-3 growth factor receptor;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: brain
Q16363;LAMA4;Laminin subunit alpha-4;Olink Explore Inflammation, Olink Target 96 Development;Low tissue specificity
Q16619;CTF1;Cardiotrophin-1;Olink Explore Cardiometabolic, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q16620;NTRK2;BDNF/NT-3 growth factors receptor;Olink Explore Cardiometabolic, Olink Target 96 Neurology;Tissue enhanced: brain, thyroid gland
Q16627;CCL14;C-C motif chemokine 14;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: lymphoid tissue
Q16651;PRSS8;Prostasin;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enhanced: salivary gland
Q16653;MOG;Myelin-oligodendrocyte glycoprotein;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enriched: brain
Q16663;CCL15;C-C motif chemokine 15;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Group enriched: intestine, liver
Q16674;MIA;Melanoma-derived growth regulatory protein;Olink Explore Oncology, Olink Target 96 Oncology II;Group enriched: breast, pituitary gland, salivary gland, stomach 1
Q16698;DECR1;2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enhanced: heart muscle, liver
Q16719;KYNU;Kynureninase;Olink Explore Inflammation, Olink Target 96 Neurology;Tissue enhanced: liver, urinary bladder
Q16769;QPCT;Glutaminyl-peptide cyclotransferase;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: adrenal gland, epididymis
Q16773;KYAT1;Kynurenine--oxoglutarate transaminase 1;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
Q16775;HAGH;Hydroxyacylglutathione hydrolase, mitochondrial;Olink Explore Oncology, Olink Target 96 Neurology;Low tissue specificity
Q16820;MEP1B;Meprin A subunit beta;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enriched: intestine
Q16853;AOC3;Membrane primary amine oxidase;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: adipose tissue
Q16864;ATP6V1F;V-type proton ATPase subunit F;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
Q2MKA7;RSPO1;R-spondin-1;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: cervix, endometrium 1
Q2TAL6;VWC2;Brorin;Olink Explore Neurology, Olink Target 96 Neurology;Group enriched: brain, heart muscle, ovary
Q2VWP7;PRTG;Protogenin;Olink Explore Oncology, Olink Target 96 Neurology;Tissue enhanced: retina, thyroid gland
Q496F6;CD300E;CMRF35-like molecule 2;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: bone marrow, lymphoid tissue
Q49AH0;CDNF;Cerebral dopamine neurotrophic factor;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: skeletal muscle, tongue
Q4KMG0;CDON;Cell adhesion molecule-related/down-regulated by oncogenes;Olink Explore Inflammation, Olink Target 96 Development;Low tissue specificity
Q53H82;LACTB2;Endoribonuclease LACTB2;Olink Explore Cardiometabolic, Olink Target 96 Oncology III;Tissue enhanced: liver
Q5JZY3;EPHA10;Ephrin type-A receptor 10;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: brain, intestine, testis
Q5KU26;COLEC12;Collectin-12;Olink Explore Inflammation, Olink Target 96 Development;Tissue enhanced: cervix
Q5T2D2;TREML2;Trem-like transcript 2 protein;Olink Explore Neurology, Olink Target 96 Cardiovascular III;Tissue enhanced: bone marrow, lymphoid tissue
Q5T4W7;ARTN;Artemin;Olink Explore Inflammation, Olink Target 96 Inflammation;Low tissue specificity
Q5VIR6;VPS53;Vacuolar protein sorting-associated protein 53 homolog;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
Q5VY43;PEAR1;Platelet endothelial aggregation receptor 1;Olink Explore Cardiometabolic, Olink Target 96 Development;Low tissue specificity
Q6BAA4;FCRLB;Fc receptor-like B;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: lymphoid tissue
Q6DN72;FCRL6;Fc receptor-like protein 6;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: bone marrow, lymphoid tissue
Q6EIG7;CLEC6A;C-type lectin domain family 6 member A;Olink Explore Oncology, Olink Target 96 Immune Response;Tissue enhanced: lung, lymphoid tissue
Q6EMK4;VASN;Vasorin;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
Q6GTX8;LAIR1;Leukocyte-associated immunoglobulin-like receptor 1;Olink Explore Inflammation, Olink Target 96 Development;Tissue enhanced: lung, lymphoid tissue
Q6ISS4;LAIR2;Leukocyte-associated immunoglobulin-like receptor 2;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: lymphoid tissue, pituitary gland
Q6NW40;RGMB;Repulsive guidance molecule B;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
Q6PCB0;VWA1;von Willebrand factor A domain-containing protein 1;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: seminal vesicle
Q6UB28;METAP1D;Methionine aminopeptidase 1D, mitochondrial;Olink Explore Inflammation, Olink Target 96 Cell Regulation;Low tissue specificity
Q6UWL6;KIRREL2;Kin of IRRE-like protein 2;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enriched: pancreas
Q6UWV6;ENPP7;Ectonucleotide pyrophosphatase/phosphodiesterase family member 7;Olink Explore Inflammation, Olink Target 96 Metabolism;Tissue enriched: intestine
Q6UX15;LAYN;Layilin;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
Q6UX27;VSTM1;V-set and transmembrane domain-containing protein 1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enriched: bone marrow
Q6UXB2;CXCL17;C-X-C motif chemokine 17;Olink Explore Inflammation, Olink Target 96 Oncology II;Group enriched: esophagus, lung, salivary gland, stomach 1
Q6UXB4;CLEC4G;C-type lectin domain family 4 member G;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: adipose tissue, liver, lymphoid tissue
Q6UXD5;SEZ6L2;Seizure 6-like protein 2;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: brain, pituitary gland
Q6UXG3;CD300LG;CMRF35-like molecule 9;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: adipose tissue, breast, placenta
Q6UXH1;CRELD2;Protein disulfide isomerase CRELD2;Olink Explore Inflammation, Olink Target 96 Development;Low tissue specificity
Q6UXH9;PAMR1;Inactive serine protease PAMR1;Olink Explore Neurology, Olink Target 96 Development;Low tissue specificity
Q6UXK2;ISLR2;Immunoglobulin superfamily containing leucine-rich repeat protein 2;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Group enriched: brain, testis
Q6UXK5;LRRN1;Leucine-rich repeat neuronal protein 1;Olink Explore Inflammation, Olink Target 96 Cell Regulation;Tissue enhanced: brain
Q6WN34;CHRDL2;Chordin-like protein 2;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: endometrium 1, gallbladder, lymphoid tissue, smooth muscle
Q6YHK3;CD109;CD109 antigen;Olink Explore Neurology, Olink Target 96 Development;Tissue enriched: parathyroid gland
Q6ZMJ2;SCARA5;Scavenger receptor class A member 5;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: urinary bladder
Q6ZUJ8;PIK3AP1;Phosphoinositide 3-kinase adapter protein 1;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: liver, lymphoid tissue, salivary gland
Q76LX8;ADAMTS13;A disintegrin and metalloproteinase with thrombospondin motifs 13;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enriched: liver
Q76M96;CCDC80;Coiled-coil domain-containing protein 80;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
Q7L5Y9;MAEA;E3 ubiquitin-protein transferase MAEA;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
Q7L8A9;VASH1;Tubulinyl-Tyr carboxypeptidase 1;Olink Explore Inflammation, Olink Target 96 Organ Damage;Tissue enhanced: retina
Q7LG56;RRM2B;Ribonucleoside-diphosphate reductase subunit M2 B;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
Q7Z5A7;TAFA5;Chemokine-like protein TAFA-5;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enriched: brain
Q7Z5L0;VMO1;Vitelline membrane outer layer protein 1 homolog;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: lymphoid tissue, pituitary gland
Q7Z5R6;APBB1IP;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: lymphoid tissue
Q7Z6M3;MILR1;Allergin-1;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue
Q7Z739;YTHDF3;YTH domain-containing family protein 3;Olink Explore Inflammation, Olink Target 96 Oncology III;Low tissue specificity
Q86SF2;GALNT7;N-acetylgalactosaminyltransferase 7;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
Q86SJ2;AMIGO2;Amphoterin-induced protein 2;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
Q86SJ6;DSG4;Desmoglein-4;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: skin 1
Q86SR1;GALNT10;Polypeptide N-acetylgalactosaminyltransferase 10;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: ovary
Q86T13;CLEC14A;C-type lectin domain family 14 member A;Olink Explore Neurology, Olink Target 96 Development;Low tissue specificity
Q86VB7;CD163;Scavenger receptor cysteine-rich type 1 protein M130;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: lymphoid tissue
Q86VZ4;LRP11;Low-density lipoprotein receptor-related protein 11;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
Q86WD7;SERPINA9;Serpin A9;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enriched: lymphoid tissue
Q86WV1;SKAP1;Src kinase-associated phosphoprotein 1;Olink Explore Neurology, Olink Target 96 Cell Regulation;Tissue enhanced: lymphoid tissue
Q86Z14;KLB;Beta-klotho;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Group enriched: adipose tissue, liver, pancreas
Q8IU54;IFNL1;Interferon lambda-1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Not detected
Q8IU57;IFNLR1;Interferon lambda receptor 1;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
Q8IUK5;PLXDC1;Plexin domain-containing protein 1;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: retina
Q8IUN9;CLEC10A;C-type lectin domain family 10 member A;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: lymphoid tissue
Q8IW75;SERPINA12;Serpin A12;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enriched: skin 1
Q8IWL2;SFTPA1;Pulmonary surfactant-associated protein A1;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enriched: lung
Q8IWV2;CNTN4;Contactin-4;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: parathyroid gland
Q8IX05;CD302;CD302 antigen;Olink Explore Oncology, Olink Target 96 Neuro Exploratory;Tissue enhanced: liver
Q8IXJ6;SIRT2;NAD-dependent protein deacetylase sirtuin-2;Olink Explore Oncology, Olink Target 96 Inflammation;Tissue enhanced: skeletal muscle, tongue
Q8IYS5;OSCAR;Osteoclast-associated immunoglobulin-like receptor;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Group enriched: bone marrow, lung, lymphoid tissue
Q8IZP9;ADGRG2;Adhesion G-protein coupled receptor G2;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enriched: epididymis
Q8N1Q1;CA13;Carbonic anhydrase 13;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: intestine
Q8N2G4;LYPD1;Ly6/PLAUR domain-containing protein 1;Olink Explore Neurology, Olink Target 96 Cell Regulation;Tissue enhanced: brain, fallopian tube, pituitary gland
Q8N423;LILRB2;Leukocyte immunoglobulin-like receptor subfamily B member 2;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Group enriched: bone marrow, lung, lymphoid tissue
Q8N474;SFRP1;Secreted frizzled-related protein 1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: breast, choroid plexus
Q8N5S9;CAMKK1;Calcium/calmodulin-dependent protein kinase kinase 1;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: brain
Q8N608;DPP10;Inactive dipeptidyl peptidase 10;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: adrenal gland, brain, pancreas
Q8N6P7;IL22RA1;Interleukin-22 receptor subunit alpha-1;Olink Explore Inflammation, Olink Target 96 Inflammation;Tissue enriched: pancreas
Q8N6Q3;CD177;CD177 antigen;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: bone marrow, intestine
Q8N8S7;ENAH;Protein enabled homolog;Olink Explore Inflammation, Olink Target 96 Organ Damage;Low tissue specificity
Q8NBI3;DRAXIN;Draxin;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enriched: brain
Q8NBJ7;SUMF2;Inactive C-alpha-formylglycine-generating enzyme 2;Olink Explore Neurology, Olink Target 96 Metabolism;Low tissue specificity
Q8NBP7;PCSK9;Proprotein convertase subtilisin/kexin type 9;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enriched: liver
Q8NBS9;TXNDC5;Thioredoxin domain-containing protein 5;Olink Explore Neurology, Olink Target 96 Metabolism;Low tissue specificity
Q8NC01;CLEC1A;C-type lectin domain family 1 member A;Olink Explore Cardiometabolic, Olink Target 96 Organ Damage;Tissue enhanced: lymphoid tissue, placenta
